transaction_id,date,customer_id,customer_segment,customer_since,product_category,product_name,quantity,unit_price,discount_rate,discount_amount,revenue,region,city,sales_channel,salesperson,month,quarter,year,day_of_week,is_weekend,customer_tenure_days
TXN_00003703,2024-07-04 00:03:20.865983,CUST_002151,Student,2023-07-28 00:03:20.865983,Clothing,Jacket,24,112.41,0.0,0.0,3184.72,Europe,Madrid,Online,Paul White,7,3,2024,Thursday,False,342
TXN_00008462,2024-07-04 00:03:20.865983,CUST_000628,Corporate,2022-08-22 00:03:20.865983,Electronics,Laptop,1,1547.57,0.0,0.0,1875.06,Europe,London,Online,Alex Anderson,7,3,2024,Thursday,False,682
TXN_00002112,2024-07-04 00:03:20.865983,CUST_002857,Budget,2023-08-09 00:03:20.865983,Electronics,Smartphone,19,208.59,0.0,0.0,4935.38,Latin America,Bogotá,Retail Store,Jack White,7,3,2024,Thursday,False,330
TXN_00003529,2024-07-04 00:03:20.865983,CUST_001454,Corporate,2023-02-13 00:03:20.865983,Home & Garden,Plants,3,708.31,0.2363,616.87,1994.19,Asia Pacific,Singapore,Retail Store,Jane Johnson,7,3,2024,Thursday,False,507
TXN_00003071,2024-07-04 00:03:20.865983,CUST_002170,Premium,2022-09-14 00:03:20.865983,Electronics,Laptop,1,537.09,0.0,0.0,642.57,Asia Pacific,Seoul,Online,Lisa Johnson,7,3,2024,Thursday,False,659
TXN_00001073,2024-07-04 00:03:20.865983,CUST_001032,Student,2023-10-14 00:03:20.865983,Home & Garden,Kitchen Appliance,2,442.31,0.0,0.0,1077.94,Asia Pacific,Bangkok,Mobile App,Nina Harris,7,3,2024,Thursday,False,264
TXN_00003575,2024-07-04 00:03:20.865983,CUST_000521,Student,2022-12-13 00:03:20.865983,Books,Non-Fiction,3,44.89,0.0,0.0,154.93,Latin America,Mexico City,Partner Store,Chris Brown,7,3,2024,Thursday,False,569
TXN_00004203,2024-07-04 00:03:20.865983,CUST_000096,Budget,2022-11-10 00:03:20.865983,Books,Children's Book,1,26.18,0.0,0.0,31.47,Europe,London,Mobile App,Jack Brown,7,3,2024,Thursday,False,602
TXN_00007954,2024-07-04 00:03:20.865983,CUST_001424,Premium,2024-01-16 00:03:20.865983,Books,Educational,1,36.73,0.0,0.0,42.54,Europe,Paris,Retail Store,Jane White,7,3,2024,Thursday,False,170
TXN_00007528,2024-07-04 00:03:20.865983,CUST_002977,Student,2023-08-31 00:03:20.865983,Clothing,T-Shirt,1,121.73,0.2158,31.44,114.28,Asia Pacific,Bangkok,Online,Alex Anderson,7,3,2024,Thursday,False,308
TXN_00002973,2024-07-04 00:03:20.865983,CUST_000244,Corporate,2023-02-27 00:03:20.865983,Home & Garden,Furniture,3,995.79,0.1612,569.08,2960.62,Asia Pacific,Singapore,Retail Store,Sarah Anderson,7,3,2024,Thursday,False,493
TXN_00006560,2024-07-05 00:03:20.865983,CUST_000605,Student,2023-06-18 00:03:20.865983,Books,Self-Help,2,73.97,0.0,0.0,182.55,North America,Toronto,Retail Store,Jack Martin,7,3,2024,Friday,False,383
TXN_00003246,2024-07-05 00:03:20.865983,CUST_001760,Corporate,2023-03-23 00:03:20.865983,Home & Garden,Plants,1,356.07,0.0,0.0,414.29,Europe,Madrid,Mobile App,Lisa Thomas,7,3,2024,Friday,False,470
TXN_00008964,2024-07-05 00:03:20.865983,CUST_000086,Premium,2023-05-03 00:03:20.865983,Electronics,Smart Watch,3,1262.83,0.0,0.0,4607.63,Asia Pacific,Seoul,Online,Mike Taylor,7,3,2024,Friday,False,429
TXN_00008370,2024-07-05 00:03:20.865983,CUST_000273,Standard,2023-03-27 00:03:20.865983,Clothing,Dress,2,213.65,0.0,0.0,521.49,Asia Pacific,Singapore,Retail Store,Lisa Smith,7,3,2024,Friday,False,466
TXN_00008776,2024-07-05 00:03:20.865983,CUST_002906,Premium,2023-03-28 00:03:20.865983,Home & Garden,Tools,3,237.69,0.0,0.0,884.9,North America,Vancouver,Mobile App,Nina Rodriguez,7,3,2024,Friday,False,465
TXN_00002632,2024-07-05 00:03:20.865983,CUST_000972,Corporate,2023-03-15 00:03:20.865983,Books,Educational,34,36.57,0.0,0.0,1559.5,Asia Pacific,Sydney,Mobile App,Nina Lee,7,3,2024,Friday,False,478
TXN_00004657,2024-07-05 00:03:20.865983,CUST_000997,Student,2022-12-24 00:03:20.865983,Books,Biography,2,38.92,0.0,0.0,92.8,North America,Vancouver,Online,Tom Lee,7,3,2024,Friday,False,559
TXN_00005785,2024-07-05 00:03:20.865983,CUST_001716,Standard,2023-07-08 00:03:20.865983,Books,Educational,3,20.3,0.0,0.0,70.09,Europe,London,Online,John White,7,3,2024,Friday,False,363
TXN_00009713,2024-07-05 00:03:20.865983,CUST_001035,Premium,2024-07-04 00:03:20.865983,Home & Garden,Tools,2,806.98,0.1476,273.65,1579.8,Asia Pacific,Seoul,Phone Order,Chris Lee,7,3,2024,Friday,False,1
TXN_00006684,2024-07-05 00:03:20.865983,CUST_002834,Premium,2023-01-03 00:03:20.865983,Home & Garden,Decorative Item,2,372.05,0.0,0.0,931.45,Europe,Paris,Retail Store,Jack Lee,7,3,2024,Friday,False,549
TXN_00001335,2024-07-05 00:03:20.865983,CUST_002400,Standard,2022-07-16 00:03:20.865983,Clothing,Jeans,3,267.29,0.0,0.0,939.63,Europe,Paris,Retail Store,Mark Lee,7,3,2024,Friday,False,720
TXN_00007270,2024-07-05 00:03:20.865983,CUST_002314,Standard,2024-06-26 00:03:20.865983,Clothing,Sneakers,3,81.67,0.201,59.99,238.52,North America,Los Angeles,Online,Jane Walker,7,3,2024,Friday,False,9
TXN_00000120,2024-07-05 00:03:20.865983,CUST_001063,Student,2024-05-31 00:03:20.865983,Electronics,Smart Watch,3,419.39,0.0,0.0,1564.09,Latin America,Mexico City,Online,Steve Jackson,7,3,2024,Friday,False,35
TXN_00003097,2024-07-05 00:03:20.865983,CUST_002067,Standard,2022-12-22 00:03:20.865983,Home & Garden,Kitchen Appliance,16,60.63,0.133,162.06,1056.03,Asia Pacific,Singapore,Partner Store,Steve Martin,7,3,2024,Friday,False,561
TXN_00000955,2024-07-05 00:03:20.865983,CUST_000404,Corporate,2023-11-23 00:03:20.865983,Home & Garden,Plants,2,188.03,0.0,0.0,448.18,Latin America,Mexico City,Online,Alex Anderson,7,3,2024,Friday,False,225
